	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
0	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies	2.7968409586056646	0.32370241148372936	1	205	10	1.0
1	KEGG-Pathway-pae00071: Fatty acid degradation	1.7377271955155427	0.3345221500127271	2	205	32	1.0
2	KEGG-Pathway-pae00903: Limonene and pinene degradation	0.0	1.0	0	205	9	1.0
3	KEGG-Pathway-pae00380: Tryptophan metabolism	1.0037254901960784	0.6388543421002779	1	205	27	1.0
4	KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis	1.6761437908496732	0.4653559415168702	1	205	16	1.0
5	KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism	0.0	1.0	0	205	14	1.0
6	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism	0.531602002503129	0.8480539728862099	1	205	49	1.0
7	KEGG-Pathway-pae00780: Biotin metabolism	0.0	1.0	0	205	21	1.0
8	KEGG-Pathway-pae02060: Phosphotransferase system (PTS)	0.0	1.0	0	205	5	1.0
9	KEGG-Pathway-pae00364: Fluorobenzoate degradation	0.0	1.0	0	205	7	1.0
10	KEGG-Pathway-pae00363: Bisphenol degradation	6.299019607843137	0.17755013271666234	1	205	5	1.0
11	KEGG-Pathway-pae00362: Benzoate degradation	0.8356209150326798	0.7032649991339935	1	205	31	1.0
12	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation	0.0	1.0	0	205	5	1.0
13	KEGG-Pathway-pae00360: Phenylalanine metabolism	1.0457516339869282	0.6243915837745034	1	205	26	1.0
14	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions	0.0	1.0	0	205	7	1.0
15	KEGG-Pathway-pae02040: Flagellar assembly	0.0	1.0	0	205	35	1.0
16	KEGG-Pathway-pae00480: Glutathione metabolism	0.0	1.0	0	205	27	1.0
17	KEGG-Pathway-pae00670: One carbon pool by folate	0.0	1.0	0	205	18	1.0
18	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism	0.0	1.0	0	205	11	1.0
19	KEGG-Pathway-pae00930: Caprolactam degradation	0.0	1.0	0	205	8	1.0
20	KEGG-Pathway-pae00561: Glycerolipid metabolism	0.0	1.0	0	205	13	1.0
21	KEGG-Pathway-pae00562: Inositol phosphate metabolism	0.0	1.0	0	205	7	1.0
22	KEGG-Pathway-pae00564: Glycerophospholipid metabolism	0.0	1.0	0	205	27	1.0
23	KEGG-Pathway-pae03440: Homologous recombination	0.0	1.0	0	205	23	1.0
24	KEGG-Pathway-pae00270: Cysteine and methionine metabolism	1.7377271955155427	0.3345221500127271	2	205	33	1.0
25	KEGG-Pathway-pae00051: Fructose and mannose metabolism	3.3688013136288997	0.13652929389274382	2	205	18	1.0
26	KEGG-Pathway-pae00052: Galactose metabolism	0.0	1.0	0	205	5	1.0
27	KEGG-Pathway-pae00190: Oxidative phosphorylation	0.4620551924473493	0.8847286480038656	1	205	55	1.0
28	KEGG-Pathway-pae00521: Streptomycin biosynthesis	0.0	1.0	0	205	8	1.0
29	KEGG-Pathway-pae02030: Bacterial chemotaxis	0.5681818181818182	0.8289769141248932	1	205	45	1.0
30	KEGG-Pathway-pae00590: Arachidonic acid metabolism	0.0	1.0	0	205	6	1.0
31	KEGG-Pathway-pae00920: Sulfur metabolism	0.531602002503129	0.8480539728862099	1	205	51	1.0
32	KEGG-Pathway-pae03070: Bacterial secretion system	0.28830369357045144	0.9675490006031761	1	205	92	1.0
33	KEGG-Pathway-pae00450: Selenocompound metabolism	2.7968409586056646	0.32370241148372936	1	205	10	1.0
34	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation	1.141961486789073	0.5315244316433754	2	205	47	1.0
35	KEGG-Pathway-pae00281: Geraniol degradation	0.0	1.0	0	205	24	1.0
36	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism	1.4783737024221453	0.5056729746948537	1	205	19	1.0
37	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)	0.0	1.0	0	205	34	1.0
38	KEGG-Pathway-pae03060: Protein export	0.0	1.0	0	205	18	1.0
39	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis	1.3959694989106755	0.5246819861691889	1	205	20	1.0
40	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism	0.0	1.0	0	205	32	1.0
41	KEGG-Pathway-pae00750: Vitamin B6 metabolism	0.0	1.0	0	205	9	1.0
42	KEGG-Pathway-pae00500: Starch and sucrose metabolism	0.0	1.0	0	205	18	1.0
43	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis	0.0	1.0	0	205	21	1.0
